udl,ret,abs_diff,ret_per_turnover
1000PEPEUSDT,1.5540744793116428,726.3841289496282,21.39466457725168
ORDIUSDT,1.1436568841025216,683.2716925670616,16.737952070073128
XRPUSDT,1.0393814458179516,728.4607355543303,14.268187633023524
WLDUSDT,1.0059947942689307,720.0716560385475,13.970759518620419
DOGEUSDT,0.9666963506150722,740.2611621137096,13.058855443054846
GMTUSDT,0.8303462008239647,722.8194993674542,11.487601006207056
1000SHIBUSDT,0.6580341697965811,757.5062217689593,8.686848383369222
ARBUSDT,0.6546648771929696,711.2057830833277,9.20499935130964
TRUMPUSDT,0.5998686700636559,291.5444852124126,20.57554508796849
ENAUSDT,0.5901934373067025,568.5718453167116,10.380278977372631
MOODENGUSDT,0.5357925940123747,350.0443466990136,15.306420431154029
TIAUSDT,0.5168920301214289,703.5137498792693,7.347291082940927
AVAXUSDT,0.42587966135689176,728.7918047398327,5.843639549554542
PUMPUSDT,0.422347058946714,141.43023545041692,29.862572002489653
1000BONKUSDT,0.41388102603996113,723.0393616882553,5.7241838822380675
GALAUSDT,0.40468499955863896,736.1916081914421,5.4970064186524
FILUSDT,0.39921614155794494,729.0538906107406,5.475811139606084
LINKUSDT,0.2695723575119084,711.1232730579554,3.790796444513758
FARTCOINUSDT,0.24236634969868523,319.89100273269577,7.57652911861385
ETHUSDT,0.2352697319530342,707.0647177693214,3.3274143941911483
SUIUSDT,0.21143412357509472,719.6478940678389,2.938021848156253
APTUSDT,0.1448780694630437,715.2361144794577,2.0255977925343527
APEUSDT,0.14213986305495405,700.1244924237043,2.0302084071204476
LTCUSDT,0.1334843677512386,705.1001199029852,1.8931264367052543
ETCUSDT,0.10325770314638887,728.1880824536807,1.4180086935569558
OPUSDT,0.04558184449906934,711.5761989865343,0.6405757326339679
SOLUSDT,0.000458785413115782,693.7243841109724,0.0066133672626158095
PNUTUSDT,-0.041163461100180945,363.73757715955986,-1.131680191571845
NEARUSDT,-0.04957452256814684,735.0265800048531,-0.6744589096059561
BTCUSDT,-0.05188929346304362,739.6313242833763,-0.701556191029616
DOTUSDT,-0.06574653929938055,747.7708513231971,-0.8792337810846811
WIFUSDT,-0.06620177836201704,660.4964828743942,-1.0023032685036501
BNBUSDT,-0.069252487341937,750.7675687286703,-0.9224224677047158
PENGUUSDT,-0.1384211642079602,319.5042700610171,-4.33237290323304
HYPEUSDT,-0.17049229370831517,161.3182571111505,-10.568691774970247
ADAUSDT,-0.25995391671992124,733.4388965282278,-3.5443159334803074
NEIROUSDT,-0.2698148740939034,405.624032120073,-6.651846358403948
FTMUSDT,-0.40145117073044473,362.2575104047444,-11.081928164357722
BCHUSDT,-0.873231504858818,738.3812240301338,-11.82629617926445
